"GOOGLE MERCHANT CENTER — BỘ CHECKLIST KIỂM TRA WEBSITE TOÀN DIỆN BY ĐỨC LÊ Bộ checklist toàn diện kết hợp chính sách chính thức của Google + thực tiễn tốt nhất trong ngành  |  Phiên bản 1.0  |  Cập nhật: Tháng 3/2026    Website cần kiểm tra: #   1. Kiểm Tra Kỹ Thuật & Bảo Mật","Phần ","Tiêu Chí Kiểm Tra ","Mức Độ ","   Ngày kiểm tra: Trạng Thái ","Hướng Dẫn / Giải Thích ","Công Cụ Kiểm Tra ","Ghi Chú "
"11","Kiểm Tra Kỹ Thuật & Bảo Mật","Sitemap.xml tồn tại và đã gửi lên Google","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Gửi sitemap qua Google Search Console để lập chỉ mục nhanh hơn.","",""
"12","Thông Tin Doanh Nghiệp","Email doanh nghiệp hợp lệ và chuyên nghiệp (không dùng Gmail cá nhân)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Phải dùng email tên miền doanh nghiệp (vd: support@cửahàng.com). Email cá nhân như Gmail không được chấp nhận.","https://email-checker.net/",""
"13","Thông Tin Doanh Nghiệp","Số điện thoại doanh nghiệp được hiển thị","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Không bắt buộc nhưng rất khuyến nghị. Phải là số điện thoại thực, có thể liên lạc được.","",""
"14","Thông Tin Doanh Nghiệp","Địa chỉ doanh nghiệp theo đúng định dạng","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Định dạng: [Số nhà + Tên đường], [Thành phố], [Tỉnh/Bang], [Mã bưu chính], [Quốc gia]. Phải khớp với GMC.","",""
"15","Thông Tin Doanh Nghiệp","Địa chỉ doanh nghiệp nhất quán trên TẤT CẢ các trang","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Địa chỉ trên trang Giới thiệu, Liên hệ, Footer và GMC phải hoàn toàn giống nhau.","",""
"16","Thông Tin Doanh Nghiệp","Tên pháp lý của doanh nghiệp được công bố","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Hiển thị tên doanh nghiệp đã đăng ký (vd: LLC, Ltd, Inc) trên website.","",""
"17","Thông Tin Doanh Nghiệp","Thông tin quốc gia/xuất xứ nhất quán trên toàn website","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","KHÔNG được khai báo các quốc gia khác nhau trên các trang khác nhau (vd: 'từ Úc' ở một trang, 'từ Mỹ' ở trang khác).","",""
"18","Thông Tin Doanh Nghiệp","Vị trí doanh nghiệp hiển thị trên Google Maps (nếu có cửa hàng thực tế)","🟣 TÙY CHỌN","⬜ Chưa Kiểm Tra","Cho cửa hàng thực tế, hãy thiết lập Google My Business. Không bắt buộc với cửa hàng online.","",""
"19","Thông Tin Doanh Nghiệp","Mô hình kinh doanh được giải thích rõ ràng (vd: made-to-order, dropship)","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Giải thích cách doanh nghiệp hoạt động để khách hàng biết điều gì sẽ xảy ra.","",""
"20","Thông Tin Doanh Nghiệp","Logo và tên thương hiệu nhất quán trên toàn website","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Logo, tên thương hiệu và nhận diện thương hiệu phải giống nhau trên mọi trang. Không có tham chiếu đến thương hiệu khác.","",""
"21","Thông Tin Doanh Nghiệp","Logo/tên thương hiệu trong GMC khớp với website","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Tên doanh nghiệp và logo tải lên Merchant Center phải khớp chính xác với website.","",""
"22","Thông Tin Doanh Nghiệp","Năm bản quyền trong footer là năm hiện tại","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Footer nên hiển thị năm hiện tại (vd: © 2026).","",""
"23","Thông Tin Doanh Nghiệp","Tên chủ sở hữu doanh nghiệp được công bố","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Hiển thị tên chủ sở hữu tăng độ tin cậy. Có thể đặt trong trang Giới thiệu hoặc footer.","",""
"24","Điều Hướng Website > Menu Header","Liên kết Trang chủ trong header","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Menu điều hướng chính phải có liên kết đến trang chủ.","",""
"25","Điều Hướng Website > Menu Header","Liên kết Tất cả sản phẩm / Cửa hàng trong header","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Khách hàng phải có thể duyệt tất cả sản phẩm từ menu chính.","",""
"26","Điều Hướng Website > Menu Header","Liên kết Giới thiệu (About Us) trong header","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Không bắt buộc nhưng rất khuyến nghị. Tăng độ tin cậy và tính minh bạch.","",""
"27","Điều Hướng Website > Menu Header","Liên kết Liên hệ (Contact Us) trong header","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Trang liên hệ phải dễ dàng truy cập từ menu điều hướng chính.","",""
"28","Điều Hướng Website > Menu Header","Liên kết Theo dõi đơn hàng (Track Order) trong header","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Không bắt buộc nhưng rất khuyến nghị. Thể hiện sự chuyên nghiệp và chăm sóc khách hàng.","",""
"29","Điều Hướng Website > Menu Footer","Liên kết Trang chủ trong footer","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Footer nên có các liên kết điều hướng để dễ truy cập.","",""
"30","Điều Hướng Website > Menu Footer","Liên kết Giới thiệu (About Us) trong footer","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Trang Giới thiệu phải truy cập được từ footer.","",""
"31","Điều Hướng Website > Menu Footer","Liên kết Liên hệ (Contact Us) trong footer","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Thông tin liên hệ phải truy cập được từ footer.","",""
"32","Điều Hướng Website > Menu Footer","Liên kết Chính sách Bảo mật trong footer","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Chính sách Bảo mật phải được liên kết trong footer.","",""
"33","Điều Hướng Website > Menu Footer","Liên kết Chính sách Vận chuyển trong footer","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Chính sách Vận chuyển phải được liên kết trong footer.","",""
"34","Điều Hướng Website > Menu Footer","Liên kết Chính sách Đổi trả & Hoàn tiền trong footer","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Chính sách Đổi trả phải được liên kết trong footer.","",""
"35","Điều Hướng Website > Menu Footer","Liên kết Chính sách Thanh toán trong footer","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Thông tin thanh toán nên truy cập được từ footer.","",""
"36","Điều Hướng Website > Menu Footer","Liên kết Điều khoản Dịch vụ trong footer","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Điều khoản Dịch vụ nên được liên kết trong footer.","",""
"37","Điều Hướng Website > Menu Footer","Liên kết Theo dõi đơn hàng trong footer","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Không bắt buộc nhưng khuyến nghị để thuận tiện cho khách hàng.","",""
"38","Điều Hướng Website > Menu Footer","Liên kết FAQ trong footer","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","FAQ giúp giảm câu hỏi của khách hàng và tăng độ tin cậy.","",""
"39","Điều Hướng Website > Menu Footer","Tên công ty / logo trong footer","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Không bắt buộc nhưng khuyến nghị. Củng cố nhận diện thương hiệu.","",""
"40","Điều Hướng Website > Menu Footer","Liên kết mạng xã hội trong footer","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Không bắt buộc nhưng khuyến nghị. Hồ sơ mạng xã hội hoạt động tăng độ tin cậy.","",""
"41","Điều Hướng Website > Menu Footer","Icon phương thức thanh toán trong footer","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Không bắt buộc nhưng khuyến nghị. Hiển thị trực quan các phương thức thanh toán được chấp nhận.","",""
"42","Điều Hướng Website > Menu Footer","Tất cả liên kết trong footer hoạt động (không có liên kết hỏng)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Mọi liên kết trong footer phải hoạt động. Liên kết hỏng trong footer = dấu hiệu cảnh báo ngay lập tức.","",""
"43","Trang Liên Hệ","Có trang Liên hệ riêng biệt","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Phải có trang Liên hệ riêng biệt (không chỉ là liên kết trong footer).","",""
"44","Trang Liên Hệ","Tối thiểu 2 phương thức liên hệ (email + điện thoại hoặc form)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Google yêu cầu ít nhất 2 cách liên hệ: email + điện thoại, hoặc email + form liên hệ.","",""
"45","Trang Liên Hệ","Địa chỉ doanh nghiệp hiển thị đúng định dạng","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Định dạng: [Số nhà + Tên đường], [Thành phố], [Tỉnh/Bang], [Mã bưu chính], [Quốc gia].","",""
"46","Trang Liên Hệ","Giờ làm việc của bộ phận hỗ trợ được đề cập","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Mẫu: 'Bộ phận hỗ trợ khách hàng hoạt động từ Thứ Hai đến Thứ Sáu, 9:00 SA đến 5:00 CH [múi giờ].'","",""
"47","Trang Liên Hệ","Form liên hệ hoạt động bình thường","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Nếu có form liên hệ, nó phải thực sự hoạt động và gửi tin nhắn được.","",""
"48","Trang Liên Hệ","Nhúng Google Maps (nếu có địa điểm thực tế)","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Không bắt buộc nhưng tăng độ tin cậy cho doanh nghiệp có địa điểm thực tế.","",""
"49","Trang Liên Hệ","Thời gian phản hồi dự kiến được đề cập","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Vd: 'Chúng tôi thường phản hồi trong vòng 24-48 giờ.'","",""
"50","Chính Sách Vận Chuyển","Trang Chính sách Vận chuyển riêng biệt tồn tại và truy cập được","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Phải có trang Chính sách Vận chuyển riêng biệt được liên kết từ footer và/hoặc header.","",""
"51","Chính Sách Vận Chuyển","Thời gian xử lý / chuẩn bị đơn hàng được ghi rõ (tính theo ngày làm việc)","🔴 BẮT BUỘC","","Mất bao lâu để chuẩn bị đơn hàng trước khi giao cho đơn vị vận chuyển. Phải ghi 'ngày làm việc'.","",""
"52","Chính Sách Vận Chuyển","Thời gian giao hàng được ghi rõ (tính theo ngày làm việc)","🔴 BẮT BUỘC","","Mất bao lâu để giao hàng sau khi đã gửi đi. Phải ghi 'ngày làm việc' và theo từng khu vực.","",""
"53","Chính Sách Vận Chuyển","Chi phí vận chuyển được ghi rõ ràng","🔴 BẮT BUỘC","","Phải ghi chi phí cụ thể hoặc 'tính khi thanh toán'. Nếu có miễn phí vận chuyển, ghi rõ điều kiện.","",""
"54","Chính Sách Vận Chuyển","Ngưỡng miễn phí vận chuyển nhất quán trên toàn website","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Nếu footer ghi 'Miễn phí vận chuyển trên X', Chính sách Vận chuyển phải ghi cùng số tiền đó.","",""
"55","Chính Sách Vận Chuyển","Các khu vực / quốc gia vận chuyển được liệt kê","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Chỉ định rõ bạn giao hàng đến quốc gia hoặc khu vực nào.","",""
"56","Chính Sách Vận Chuyển","Thông tin theo dõi đơn hàng được cung cấp","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Giải thích cách khách hàng nhận mã theo dõi và theo dõi ở đâu.","",""
"57","Chính Sách Vận Chuyển","Trách nhiệm về thuế hải quan được nêu rõ (cho đơn quốc tế)","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Đối với vận chuyển quốc tế, nêu rõ ai chịu trách nhiệm về thuế hải quan và thuế nhập khẩu.","",""
"58","Chính Sách Vận Chuyển","Chính sách xử lý gói hàng thất lạc / chưa giao được đề cập","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Giải thích điều gì xảy ra nếu gói hàng bị thất lạc hoặc không được giao.","",""
"59","Chính Sách Vận Chuyển","Email / thông tin liên hệ cho câu hỏi về vận chuyển","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Phải có email hoặc liên kết liên hệ cho các câu hỏi liên quan đến vận chuyển.","",""
"60","Chính Sách Vận Chuyển","Ngày cập nhật cuối cùng hiển thị trên trang","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Cho thấy chính sách còn hiện hành và được duy trì.","",""
"61","Chính Sách Đổi Trả & Hoàn Tiền","Trang Chính sách Đổi trả & Hoàn tiền riêng biệt tồn tại và truy cập được","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Phải có trang Chính sách Đổi trả riêng biệt được liên kết từ footer.","",""
"62","Chính Sách Đổi Trả & Hoàn Tiền","Thời hạn đổi trả được ghi rõ ràng (vd: 14 hoặc 30 ngày)","🔴 BẮT BUỘC","","Phải chỉ định khách hàng có bao nhiêu ngày sau khi nhận hàng để yêu cầu đổi trả.","",""
"63","Chính Sách Đổi Trả & Hoàn Tiền","Điều kiện đổi trả được giải thích rõ ràng","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Nêu rõ trường hợp nào được đổi trả (hàng lỗi, sai hàng, đổi ý, v.v.).","",""
"64","Chính Sách Đổi Trả & Hoàn Tiền","Trách nhiệm chi phí vận chuyển đổi trả được ghi rõ","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Phải nêu rõ ai trả phí vận chuyển đổi trả: cho hàng lỗi VÀ cho trường hợp đổi ý.","",""
"65","Chính Sách Đổi Trả & Hoàn Tiền","Thời gian xử lý hoàn tiền được ghi rõ","🔴 BẮT BUỘC","","Mất bao lâu để xử lý hoàn tiền sau khi nhận được hàng trả về.","",""
"66","Chính Sách Đổi Trả & Hoàn Tiền","Quy trình đổi trả từng bước được giải thích","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Hướng dẫn rõ ràng: Bước 1 → Bước 2 → Bước 3 để bắt đầu yêu cầu đổi trả.","",""
"67","Chính Sách Đổi Trả & Hoàn Tiền","Chính sách hủy đơn hàng được đề cập","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Nêu rõ khoảng thời gian có thể hủy đơn hàng trước khi giao hàng.","",""
"68","Chính Sách Đổi Trả & Hoàn Tiền","Ngoại lệ cho sản phẩm tùy chỉnh / made-to-order được giải thích (nếu có)","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Nếu sản phẩm được làm theo yêu cầu, giải thích tại sao không nhận đổi trả trong một số trường hợp.","",""
"69","Chính Sách Đổi Trả & Hoàn Tiền","Chính sách KHÔNG mâu thuẫn với các trang khác (vd: footer, FAQ)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Nếu footer ghi 'Đổi trả miễn phí' nhưng chính sách lại ghi khách hàng phải trả, đây là vi phạm nghiêm trọng.","",""
"70","Chính Sách Đổi Trả & Hoàn Tiền","Email / thông tin liên hệ cho câu hỏi về đổi trả","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Phải có email hoặc liên kết liên hệ cho các câu hỏi liên quan đến đổi trả.","",""
"71","Chính Sách Đổi Trả & Hoàn Tiền","Ngày cập nhật cuối cùng hiển thị trên trang","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Cho thấy chính sách còn hiện hành và được duy trì.","",""
"72","Chính Sách Bảo Mật","Trang Chính sách Bảo mật riêng biệt tồn tại và truy cập được","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Phải có trang Chính sách Bảo mật riêng biệt được liên kết từ footer.","",""
"73","Chính Sách Bảo Mật","Cookie liên quan được tiết lộ (Google Analytics, Meta Pixel, v.v.)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Phải đề cập tất cả cookie theo dõi đang sử dụng: Google Analytics, Facebook/Meta Pixel, v.v.","",""
"74","Chính Sách Bảo Mật","Thực hành thu thập dữ liệu được giải thích (đơn hàng, thanh toán, thông tin cá nhân)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Phải giải thích dữ liệu nào bạn thu thập: tên, email, địa chỉ, thông tin thanh toán, lịch sử đơn hàng.","",""
"75","Chính Sách Bảo Mật","Luật bảo mật áp dụng được tham chiếu đúng","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Phải tham chiếu luật đúng cho vị trí doanh nghiệp của bạn (GDPR cho EU, CCPA cho California, v.v.). KHÔNG tham chiếu luật của quốc gia khác.","",""
"76","Chính Sách Bảo Mật","Email / thông tin liên hệ cho câu hỏi về bảo mật","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Phải có email hoặc liên kết liên hệ cho các câu hỏi liên quan đến bảo mật.","",""
"77","Chính Sách Bảo Mật","Quyền của người dùng được giải thích (truy cập, xóa, từ chối)","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Giải thích cách người dùng có thể yêu cầu truy cập, chỉnh sửa hoặc xóa dữ liệu của họ.","",""
"78","Chính Sách Bảo Mật","Việc chia sẻ dữ liệu với bên thứ ba được tiết lộ","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Nếu bạn chia sẻ dữ liệu với bên thứ ba (đơn vị xử lý thanh toán, đơn vị vận chuyển), hãy tiết lộ điều đó.","",""
"79","Chính Sách Bảo Mật","Chính sách KHÔNG phải mẫu chung (phải tùy chỉnh cho cửa hàng của bạn)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Mẫu mặc định của WordPress/Shopify là KHÔNG đủ. Phải được tùy chỉnh cho doanh nghiệp thương mại điện tử của bạn.","",""
"80","Chính Sách Thanh Toán & Phương Thức","Phương thức thanh toán trên website khớp với tùy chọn thanh toán thực tế","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Nếu bạn hiển thị icon Visa, Mastercard, PayPal, những phương thức đó phải có sẵn khi thanh toán.","",""
"81","Chính Sách Thanh Toán & Phương Thức","Icon phương thức thanh toán được hiển thị (footer hoặc trang sản phẩm)","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Icon thanh toán trực quan tăng độ tin cậy. Hiển thị trong footer hoặc gần nút Thêm vào giỏ hàng.","",""
"82","Chính Sách Thanh Toán & Phương Thức","Chỉ báo thanh toán an toàn hiển thị (khóa SSL, huy hiệu tin cậy)","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Hiển thị 'Thanh toán an toàn được đảm bảo' hoặc huy hiệu tin cậy tương tự gần khu vực thanh toán.","",""
"83","Chính Sách Thanh Toán & Phương Thức","Không chuyển hướng đến trang thanh toán bên thứ ba đáng ngờ","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Thanh toán phải sử dụng các đơn vị xử lý đáng tin cậy (Stripe, PayPal, Shopify Payments, v.v.).","",""
"84","Chính Sách Thanh Toán & Phương Thức","Tính thuế chính xác (KHÔNG đề cập 'không có thuế' hoặc 'miễn thuế')","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Thuế phải được tính đúng. Không bao giờ tuyên bố 'không có thuế' hoặc 'miễn thuế' vì điều này có thể gây hiểu nhầm.","",""
"85","Chính Sách Thanh Toán & Phương Thức","Email / thông tin liên hệ cho câu hỏi về thanh toán","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Phải có email hoặc liên kết liên hệ cho các câu hỏi liên quan đến thanh toán.","",""
"86","Chính Sách Thanh Toán & Phương Thức","Các phương thức thanh toán được chấp nhận","🔴 BẮT BUỘC","","Liệt kê tất cả các phương thức thanh toán được chấp nhận.","",""
"87","Điều Khoản Dịch Vụ","Trang Điều khoản Dịch vụ riêng biệt tồn tại","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Khuyến nghị có trang Điều khoản Dịch vụ / Điều khoản Sử dụng riêng biệt.","",""
"88","Điều Khoản Dịch Vụ","Không có tuyên bố hứa hẹn quá mức trong điều khoản","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Tránh các tuyên bố bạn không thể thực hiện (vd: 'đảm bảo 100% hài lòng' mà không có quy trình hoàn tiền rõ ràng).","",""
"89","Điều Khoản Dịch Vụ","Email / thông tin liên hệ cho câu hỏi về điều khoản","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Phải có email hoặc liên kết liên hệ cho các câu hỏi liên quan đến điều khoản.","",""
"90","Trang Sản Phẩm","Tất cả sản phẩm tuân thủ chính sách Google Shopping (không có nội dung bị cấm)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Sản phẩm không được bị cấm (hàng giả, nguy hiểm, nội dung người lớn, v.v.). Kiểm tra danh sách sản phẩm bị hạn chế của Google.","https://support.google.com/merchants/answer/6150006",""
"91","Trang Sản Phẩm","Hình ảnh sản phẩm chất lượng cao (tối thiểu 800×800px, nền trắng/sạch)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Hình ảnh phải rõ ràng, chuyên nghiệp và thể hiện chính xác sản phẩm.","",""
"92","Trang Sản Phẩm","Tiêu đề sản phẩm chính xác và mô tả đầy đủ","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Tiêu đề phải mô tả chính xác sản phẩm. Không nhồi từ khóa hoặc tiêu đề gây hiểu nhầm.","",""
"93","Trang Sản Phẩm","Mô tả sản phẩm chi tiết và chính xác","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Bao gồm chất liệu, kích thước, màu sắc, tính năng. Mô tả phải khớp với sản phẩm thực tế.","",""
"94","Trang Sản Phẩm","Giá được hiển thị rõ ràng với đơn vị tiền tệ đúng","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Giá phải hiển thị rõ, đúng đơn vị tiền tệ và khớp với product feed.","",""
"95","Trang Sản Phẩm","Các biến thể sản phẩm (kích thước, màu sắc, v.v.) có thể chọn được","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Nếu sản phẩm có biến thể, chúng phải chọn được và mỗi biến thể phải có giá đúng.","",""
"96","Trang Sản Phẩm","Nút Thêm vào giỏ hàng / Mua ngay hoạt động bình thường","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Quy trình mua hàng phải hoạt động đúng từ trang sản phẩm đến thanh toán.","",""
"97","Trang Sản Phẩm","Không có chiến thuật tạo sự cấp bách giả hoặc khan hiếm giả","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","'X người đang xem ngay bây giờ', đồng hồ đếm ngược giả, hoặc 'Chỉ còn 2 cái!' (khi không đúng) vi phạm chính sách Trình bày sai.","",""
"98","Trang Sản Phẩm","Không có đánh giá giả hoặc yếu tố tin cậy giả","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Tất cả yếu tố tin cậy phải thực. Logo báo chí giả, đánh giá sao bịa đặt, hoặc đánh giá sao chép vi phạm chính sách.","",""
"99","Trang Sản Phẩm","Trạng thái hàng tồn kho chính xác","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Nếu sản phẩm hết hàng, phải hiển thị là không có sẵn. Không nhận đơn hàng cho mặt hàng không có sẵn.","",""
"100","Trang Sản Phẩm","Điều hướng breadcrumb hiển thị","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Breadcrumb giúp Google hiểu cấu trúc trang và cải thiện trải nghiệm người dùng.","",""
"101","Trang Sản Phẩm","Hướng dẫn kích thước có sẵn (cho quần áo)","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Đối với quần áo/giày dép, hướng dẫn kích thước giúp giảm đổi trả và tăng độ tin cậy.","",""
"102","Trang Sản Phẩm","Phần đánh giá của khách hàng tồn tại","🔵 KHUYẾN NGHỊ","⬜ Chưa Kiểm Tra","Đánh giá thực của khách hàng tăng đáng kể độ tin cậy và tỷ lệ chuyển đổi.","",""
"103","Giá Cả & Khuyến Mãi","Giá khuyến mãi có ngày bắt đầu/kết thúc rõ ràng hoặc là thực sự","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Nếu hiển thị giá 'cũ/mới', giá gốc phải là thực (đã từng tính). Khuyến mãi vĩnh viễn là giá giả.","",""
